Status,NHL Club Name,Requested change,Current Player Listed on Roster,New Player to be Listed (Full Name),Number,Position,Height,Weight,Birthplace (FLAG),Shoots/Catches (Left/Right),Birthday (YYYY-MM-DD),GP,Goals (G),Assists (A),Points (P),New Headshot link?,Notes
,Anaheim Ducks,Incorrect statistic,Cam Fowler,,,,,,,,,735,72,252,324,N/A,
,Anaheim Ducks,Incorrect statistic,Ryan Getzlaf,,,,,,,,,1101,279,703,982,N/A,
,Anaheim Ducks,Incorrect statistic,John Gibson,,,,,,,,,322,N/A,N/A,N/A,N/A,
,Anaheim Ducks,Incorrect statistic,Hampus Lindholm,,,,,,,,,521,52,148,200,N/A,
,Anaheim Ducks,Incorrect statistic,Rickard Rakell,,,,,,,,,499,138,173,311,N/A,
,Anaheim Ducks,Incorrect statistic,Jakob Silfverberg,,,,,,,,,605,146,161,307,N/A,
,Arizona Coyotes,Incorrect statistic,Clayton Keller,,,,,,,,,293,68,125,193,https://drive.google.com/file/d/1SoRoGf3EL0Z1Eo8bXu4zDq2Q51gZheDy/view?usp=sharing,
,Arizona Coyotes,Incorrect statistic,Christian Fischer,,,,,,,,,265,38,36,74,https://drive.google.com/file/d/1SnkjxtytquTWkkyjWxU95jNltgSAXgMq/view?usp=sharing,
,Arizona Coyotes,Roster list change,Oliver Ekman-Larsson,Jakob Chychrun,6,Defenseman,"6'2""",210,"Boca Raton, FL, USA",Left,1998-03-31,290,46,75,121,https://drive.google.com/file/d/1SgVxdSsJZOh9gOROP8YhYnJm8RpD8L2g/view?usp=sharing,
,Arizona Coyotes,Roster list change,Niklas Hialmarsson,Conor Timmins,25,Defenseman,"6'2""",185,"St. Catharines, ON, CAN",Right,1998-09-18,33,0,7,7,https://drive.google.com/file/d/1bxbP0P71pbIfKVlFRYy6cVAsBGDxKGF6/view?usp=sharing,
,Arizona Coyotes,Roster list change,Antti Raanta,Nick Schmaltz,40,Goalie,"6'0""",208,"Thunder Bay, ON, CAN",Left,1985-12-19,232,N/A,N/A,N/A,https://drive.google.com/file/d/1ShSsZO42hVw0ep-E3qlgs1Bzy7vP4C82/view?usp=sharing,
,Arizona Coyotes,Roster list change,Derek Stepan,Lawson Crouse,67,Left Wing,"6'4""",220,"Mt. Brydges, ON, CAN",Left,1997-06-23,281,36,40,76,https://drive.google.com/file/d/1SnrezYH3TkmcsYNuswonx_a88U9JKu3S/view?usp=sharing,
,Boston Bruins ,Incorrect statistic,Patrice Bergeron,,,,,,,,,1143,375,542,917,N/A,
,Boston Bruins ,Roster list change,David Krejci,Taylor Hall,,,,,,,,680,228,368,596,https://drive.google.com/file/d/1bwMpO7X-3HSwz1qxmkMWNAhP5-D1URRT/view?usp=sharing,
,Boston Bruins ,Incorrect statistic,Brad Marchand,,,,,,,,,804,319,396,715,N/A,
,Boston Bruins ,Incorrect statistic,Charlie Mcavoy,,,,,,,,,235,24,98,122,N/A,
,Boston Bruins ,Incorrect statistic,David Pastrnak,,,,,,,,,438,200,227,427,N/A,
,Boston Bruins ,Roster list change,Tuukka Rask,Brandon Carlo,,,,,,,,324,15,40,55,https://drive.google.com/file/d/1bps-c-bMiYFYXGPcYBBv6r6InNlIRPzS/view?usp=sharing,
,Buffalo Sabres,Incorrect statistic,Rasmus Dahlin,,,,,,,,,197,18,89,107,https://drive.google.com/file/d/1cqa3m16rRKLgmzbNVtP7aDRDm45AvXcA/view?usp=sharing,
,Buffalo Sabres,Incorrect statistic,Kyle Okposo,,,,,,,,,835,198,321,519,https://drive.google.com/file/d/1bOCC2uCik-31-D9Yp7SaDZymBujdYn-_/view?usp=sharing,
,Buffalo Sabres,Roster list change,Jack Eichel,Casey Mittelstadt,37,Center,"6'1""",196,"Eden Prairie, MN, USA",Left,1998-11-22,155,27,34,61,https://drive.google.com/file/d/1baUTY660d-ezbAzXEZImDq_SirbeR_OK/view?usp=sharing,
,Buffalo Sabres,Roster list change,Carter Hutton,Dylan Cozens,24,Center,"6'3""",188,"Whitehorse, YT, CAN",Right,2001-02-09,41,4,9,13,https://drive.google.com/file/d/1bibVC0ftEm1KTM7c5tZSKQR9rvpUr8a7/view?usp=sharing,
